symbol,window_start,window_end,average_open_interest,count
MAVUSDT,2025-07-07 11:30:00,2025-07-07 11:45:00,4161977.65773,1
MAVUSDT,2025-07-07 11:45:00,2025-07-07 12:00:00,4144221.18425,1
MAVUSDT,2025-07-07 12:00:00,2025-07-07 12:15:00,4148106.29548,1
MAVUSDT,2025-07-07 12:15:00,2025-07-07 12:30:00,4180522.6196999997,1
MAVUSDT,2025-07-07 12:30:00,2025-07-07 12:45:00,4187196.85325,1
MAVUSDT,2025-07-07 12:45:00,2025-07-07 13:00:00,4230237.6457,1
MAVUSDT,2025-07-07 13:00:00,2025-07-07 13:15:00,4213659.78283,1
MAVUSDT,2025-07-08 10:45:00,2025-07-08 11:00:00,4018836.1638700003,1
MAVUSDT,2025-07-08 11:30:00,2025-07-08 11:45:00,3985487.6252849996,2
